A1(X)	A1(Y)	A2(X)	A2(Y)	A3(X)	A3(Y)	B2(X)	B2(Y)	B3(X)	B3(Y)
6938.329	-6062.5	6938.329	-6940	6938.329	-4712.5	6938.329	-5157.5	6938.329	-3645
6938.33	-5962.5	6938.33	-6797.5	6938.33	-4652.5	6938.33	-5057.5	6938.33	-3585
6938.331	-5857.5	6938.331	-6690	6938.331	-4620	6938.331	-4957.5	6938.331	-3562.5
6938.332	-5805	6938.332	-6622.5	6938.332	-4615	6938.332	-4870	6938.332	-3522.5
6938.333	-5810	6938.333	-6515	6938.333	-4600	6938.333	-4827.5	6938.333	-3505
6938.334	-5760	6938.334	-6535	6938.334	-4557.5	6938.334	-4740	6938.334	-3502.5
6938.335	-5882.5	6938.335	-6575	6938.335	-4585	6938.335	-4720	6938.335	-3540
6938.336	-5887.5	6938.336	-6575	6938.336	-4522.5	6938.336	-4677.5	6938.336	-3422.5
6938.337	-5885	6938.337	-6645	6938.337	-4492.5	6938.337	-4632.5	6938.337	-3405
6938.338	-5962.5	6938.338	-6740	6938.338	-4480	6938.338	-4645	6938.338	-3445
6938.339	-5907.5	6938.339	-6792.5	6938.339	-4435	6938.339	-4600	6938.339	-3412.5
6938.34	-5975	6938.34	-6830	6938.34	-4437.5	6938.34	-4600	6938.34	-3420
6938.341	-6027.5	6938.341	-6820	6938.341	-4442.5	6938.341	-4505	6938.341	-3370
6938.342	-5975	6938.342	-6850	6938.342	-4397.5	6938.342	-4465	6938.342	-3327.5
6938.343	-5887.5	6938.343	-6817.5	6938.343	-4320	6938.343	-4402.5	6938.343	-3300
6938.344	-5907.5	6938.344	-6755	6938.344	-4290	6938.344	-4305	6938.344	-3247.5
6938.345	-5845	6938.345	-6592.5	6938.345	-4255	6938.345	-4150	6938.345	-3205
6938.346	-5812.5	6938.346	-6537.5	6938.346	-4217.5	6938.346	-4022.5	6938.346	-3180
6938.347	-5670	6938.347	-6420	6938.347	-4142.5	6938.347	-3902.5	6938.347	-3102.5
