F4(X)	F4(Y)	F5(X)	F5(Y)	G2(X)	G2(Y)	G3(X)	G3(Y)
6938.394	-1695	6938.394	-15862.5	6938.394	-17.5	6938.394	495
6938.395	-1662.5	6938.395	-15767.5	6938.395	-12.5	6938.395	470
6938.396	-1687.5	6938.396	-15762.5	6938.396	-97.5	6938.396	475
6938.397	-1660	6938.397	-15832.5	6938.397	-97.5	6938.397	485
6938.398	-1657.5	6938.398	-15700	6938.398	-145	6938.398	467.5
6938.399	-1647.5	6938.399	-15735	6938.399	-150	6938.399	430
6938.4	-1612.5	6938.4	-15622.5	6938.4	-150	6938.4	375
6938.401	-1652.5	6938.401	-15597.5	6938.401	-160	6938.401	402.5
6938.402	-1587.5	6938.402	-15460	6938.402	-130	6938.402	422.5
6938.403	-1597.5	6938.403	-15440	6938.403	-80	6938.403	392.5
6938.404	-1557.5	6938.404	-15387.5	6938.404	15	6938.404	377.5
6938.405	-1532.5	6938.405	-15342.5	6938.405	157.5	6938.405	462.5
6938.406	-1497.5	6938.406	-15257.5	6938.406	315	6938.406	482.5
6938.407	-1487.5	6938.407	-15255	6938.407	507.5	6938.407	605
6938.408	-1417.5	6938.408	-15215	6938.408	707.5	6938.408	617.5
6938.409	-1430	6938.409	-15085	6938.409	815	6938.409	620
6938.41	-1367.5	6938.41	-15102.5	6938.41	1000	6938.41	640
6938.411	-1362.5	6938.411	-15052.5	6938.411	1125	6938.411	657.5
6938.412	-1330	6938.412	-14972.5	6938.412	1265	6938.412	657.5
6938.413	-1332.5	6938.413	-14887.5	6938.413	1372.5	6938.413	670
6938.414	-1312.5	6938.414	-14857.5	6938.414	1390	6938.414	660
6938.415	-1330	6938.415	-14797.5	6938.415	1407.5	6938.415	572.5
6938.416	-1310	6938.416	-14895	6938.416	1417.5	6938.416	555
6938.417	-1355	6938.417	-14967.5	6938.417	1420	6938.417	440
6938.418	-1372.5	6938.418	-14830	6938.418	1397.5	6938.418	350
